"Sem Epid Início Sintoma";"Aricanduva/Formosa/Carrão";"Butantã";"Campo Limpo";"Capela do Socorro";"Casa Verde/Cachoeirinha";"Cidade Ademar";"Cidade Tiradentes";"Ermelino Matarazzo";"Freguesia/Brasilândia";"Guaianases";"Ipiranga";"Itaim Paulista";"Itaquera";"Jabaquara";"Jaçanã/Tremembé";"Lapa";"M'Boi Mirim";"Mooca";"Parelheiros";"Penha";"Perus";"Pinheiros";"Pirituba";"Santana/Tucuruvi";"Santo Amaro";"São Mateus";"São Miguel";"Sapopemba";"Sé";"Vila Maria/Vila Guilherme";"Vila Mariana";"Vila Prudente";"Ign";"Total"
"Semana 01/2020";14;6;12;23;6;3;4;4;6;5;23;7;13;3;3;4;13;8;2;10;1;14;8;6;3;9;9;11;8;3;9;2;22;274
"Semana 02/2020";4;1;4;5;2;1;2;1;4;2;6;1;4;2;2;3;7;4;2;4;3;1;4;1;4;4;2;2;6;2;5;1;1;97
"Semana 03/2020";4;2;2;2;2;1;1;2;2;-;6;1;2;-;-;1;6;2;1;2;-;5;5;2;-;-;2;1;-;1;2;1;2;60
"Semana 04/2020";3;-;2;2;-;-;-;1;2;-;3;2;-;1;1;4;4;1;-;-;1;3;2;-;-;2;1;2;2;2;1;4;2;48
"Semana 05/2020";5;4;4;7;1;3;6;1;2;5;8;1;10;1;2;2;13;3;2;6;-;4;7;4;3;2;4;5;8;-;4;3;7;137
"Semana 06/2020";-;2;2;5;6;2;-;-;1;1;5;-;3;-;2;2;6;6;-;1;1;2;1;1;2;4;1;1;3;1;-;-;5;66
"Semana 07/2020";2;3;5;6;-;4;1;-;2;1;3;1;3;1;4;3;3;1;1;1;1;1;2;2;1;4;1;1;4;2;3;1;2;70
"Semana 08/2020";-;3;7;5;2;2;1;-;1;1;2;4;3;7;2;3;3;2;1;-;-;7;4;3;4;4;1;1;2;1;3;3;2;84
"Semana 09/2020";3;5;5;4;1;6;1;1;1;4;6;4;3;3;1;4;-;7;1;3;-;5;1;5;4;5;2;3;7;7;-;2;8;112
"Semana 10/2020";9;21;15;14;8;11;5;1;10;6;12;9;10;8;5;15;16;13;3;18;4;26;17;10;9;15;4;9;26;8;15;10;19;381
"Semana 11/2020";8;35;37;8;10;15;8;15;17;4;29;7;29;5;11;32;20;26;-;34;3;87;5;19;23;15;11;6;48;8;72;10;91;748
"Semana 12/2020";49;107;93;50;31;27;8;20;29;30;75;39;80;42;38;81;38;84;11;97;9;180;48;56;82;41;41;37;95;27;174;41;213;2073
"Semana 13/2020";58;160;171;85;46;53;34;33;53;50;119;66;138;41;39;77;104;99;17;133;23;155;69;74;86;69;44;53;139;31;155;36;271;2781
"Semana 14/2020";88;230;201;116;76;87;89;49;80;76;167;110;246;63;73;131;179;124;27;186;26;181;83;95;68;178;86;94;198;67;165;92;260;3991
"Semana 15/2020";80;206;246;145;105;105;86;59;104;97;174;114;310;63;79;108;236;104;41;242;30;165;79;87;70;216;104;107;185;61;153;85;413;4459
"Semana 16/2020";90;269;396;225;119;153;107;76;150;98;219;130;329;98;112;151;325;174;59;259;44;197;98;95;99;244;136;130;274;74;223;108;472;5733
"Semana 17/2020";105;317;572;323;134;214;120;98;192;156;309;185;398;142;145;174;502;206;63;366;69;196;152;116;157;258;171;171;410;100;285;137;646;7589
"Semana 18/2020";160;416;624;469;168;308;110;143;261;182;355;235;470;180;178;193;582;238;111;408;83;271;250;120;251;306;203;203;475;134;338;164;609;9198
"Semana 19/2020";191;457;723;558;179;369;154;168;283;235;417;298;483;233;216;250;554;321;112;489;92;324;258;142;200;336;256;241;654;171;397;162;728;10651
"Semana 20/2020";262;622;1053;743;255;449;231;251;439;323;495;416;747;336;288;283;758;373;173;650;145;338;418;214;259;520;414;303;486;241;418;267;564;13734
"Semana 21/2020";280;669;1146;823;260;541;206;229;466;343;562;437;787;359;317;298;941;394;181;670;169;327;629;195;289;610;512;389;448;275;415;282;627;15076
"Semana 22/2020";385;664;1276;890;308;604;273;292;468;439;690;462;924;283;430;322;1069;490;222;667;206;394;607;263;274;654;492;477;547;292;410;361;702;16837
"Semana 23/2020";476;623;1226;932;456;576;331;291;557;427;722;612;1066;297;406;333;1102;557;260;824;227;369;748;358;312;799;506;525;445;356;482;408;616;18225
"Semana 24/2020";361;570;1003;901;381;580;285;294;557;401;665;602;880;208;427;324;1031;468;254;734;210;280;683;289;244;729;505;543;396;356;342;419;731;16653
"Semana 25/2020";362;531;1021;861;372;488;280;294;546;442;709;651;902;215;429;345;907;458;187;711;237;266;644;270;279;757;585;614;382;334;304;429;759;16571
"Semana 26/2020";367;415;912;823;317;484;264;298;529;419;562;564;935;198;332;280;818;404;158;659;202;255;553;216;236;709;531;483;344;305;263;333;462;14630
"Semana 27/2020";378;462;954;919;380;530;272;370;548;441;612;693;1028;234;423;311;911;507;208;801;230;263;650;281;280;815;624;530;432;346;291;415;585;16724
"Semana 28/2020";384;486;1040;914;419;540;268;411;572;463;639;703;963;225;382;351;952;541;201;856;235;253;748;295;289;819;642;621;432;373;326;451;606;17400
"Semana 29/2020";413;433;933;701;300;517;203;285;537;400;550;546;802;229;260;278;838;442;208;707;180;295;619;256;272;661;610;511;375;229;295;367;564;14816
"Semana 30/2020";361;485;895;782;378;518;199;277;529;400;569;491;768;231;292;318;854;427;214;661;247;256;587;242;257;680;558;473;409;264;299;337;536;14794
"Semana 31/2020";415;501;829;694;330;550;192;282;450;325;567;520;702;236;240;307;824;496;171;658;203;284;594;260;264;596;528;458;351;277;270;338;454;14166
"Semana 32/2020";350;454;880;633;272;486;160;270;376;310;545;480;658;217;236;278;809;391;168;582;173;266;553;199;251;531;414;479;343;256;243;298;446;13007
"Semana 33/2020";327;411;747;447;213;501;146;262;364;308;487;425;647;167;225;262;627;361;100;648;163;211;484;210;193;446;401;353;331;218;223;273;431;11612
"Semana 34/2020";224;335;576;361;196;395;168;225;314;239;456;273;502;147;219;187;464;274;90;501;126;164;362;197;152;392;298;257;258;166;172;284;393;9367
"Semana 35/2020";316;298;591;412;262;369;144;241;287;224;415;273;468;149;203;211;470;303;73;547;119;208;405;216;159;336;268;279;280;177;201;296;384;9584
"Semana 36/2020";291;263;516;306;255;302;112;220;314;236;418;235;446;134;173;183;395;310;57;500;136;218;454;291;163;258;258;283;284;220;215;256;375;9077
"Semana 37/2020";267;237;420;256;176;259;100;189;249;178;351;185;382;106;178;194;331;264;33;473;95;197;362;161;150;259;248;213;239;130;192;230;368;7672
"Semana 38/2020";179;241;430;237;138;240;115;160;235;162;318;186;317;124;163;184;297;251;29;360;65;174;271;170;124;248;204;172;240;150;173;169;338;6864
"Semana 39/2020";200;234;369;216;183;158;96;160;227;146;288;176;344;106;153;165;289;217;44;317;72;172;311;146;144;239;223;174;191;108;164;149;342;6523
"Semana 40/2020";214;266;389;207;137;144;99;119;176;141;310;158;339;98;81;184;319;199;34;328;72;165;271;117;140;181;162;138;201;102;173;171;384;6219
"Semana 41/2020";202;258;510;315;147;152;124;144;294;221;405;182;251;104;113;212;374;219;76;360;102;201;378;92;131;304;234;236;181;168;184;147;468;7489
"Semana 42/2020";302;323;595;404;147;231;83;126;282;136;487;196;273;104;147;276;416;230;61;369;100;220;385;113;151;257;151;202;226;220;220;174;709;8316
"Semana 43/2020";257;301;592;416;148;285;91;111;383;117;495;249;289;124;130;242;509;223;72;365;128;227;548;124;191;277;194;190;286;168;246;210;1087;9275
"Semana 44/2020";204;229;477;264;130;172;74;99;232;149;440;97;255;124;115;151;326;193;51;288;72;200;352;127;153;191;138;170;174;119;198;121;1984;8069
"Semana 45/2020";272;334;392;216;159;152;63;96;221;133;436;161;257;156;112;283;246;331;48;349;51;408;361;223;327;182;135;161;366;107;348;180;3196;10462
"Semana 46/2020";417;551;666;345;272;339;100;215;432;207;939;246;493;259;207;416;407;465;78;603;106;454;677;288;373;295;245;327;534;205;490;361;631;12643
"Semana 47/2020";430;619;796;442;259;368;122;256;453;239;1080;267;516;285;211;454;452;495;67;634;100;469;718;268;344;377;267;410;525;207;463;395;623;13611
"Semana 48/2020";429;647;754;401;219;295;104;242;513;214;955;248;628;294;175;395;447;494;89;647;72;378;442;240;359;367;311;372;535;192;486;493;671;13108
"Semana 49/2020";430;577;711;424;205;293;124;266;432;202;878;257;694;283;228;406;414;477;104;650;59;353;460;294;352;358;263;375;517;195;461;419;922;13083
"Semana 50/2020";362;514;657;399;230;236;157;244;375;213;857;217;582;251;195;399;399;417;86;550;56;395;408;263;339;293;274;297;444;190;436;350;884;11969
"Semana 51/2020";365;425;672;381;224;289;111;190;361;171;754;202;543;189;237;331;447;414;84;461;73;297;578;295;306;295;204;224;448;215;394;355;798;11333
"Semana 52/2020";350;507;696;506;284;414;108;236;473;173;663;244;554;239;307;367;567;441;111;521;106;366;771;297;403;297;270;316;472;262;390;325;821;12857
"Semana 53/2020";422;615;943;689;284;316;142;299;549;216;834;302;765;280;284;481;789;415;113;650;163;437;853;404;447;369;312;457;552;219;484;437;997;15519
"Semana 01/2021";409;654;1027;780;316;328;176;252;582;311;864;302;824;284;311;542;918;398;136;620;257;461;933;380;456;422;392;440;728;199;562;388;897;16549
"Semana 02/2021";238;410;708;462;233;182;107;155;327;212;490;202;477;199;160;352;610;214;85;366;167;251;601;174;254;278;247;265;365;131;340;289;596;10147
"Semana 03/2021";160;303;476;264;146;145;73;103;204;101;351;131;270;153;167;251;479;207;65;251;76;209;506;178;185;167;152;197;256;97;225;201;466;7215
"Semana 04/2021";89;201;239;152;92;93;33;44;114;57;219;72;174;109;91;155;315;155;24;140;29;151;225;143;137;127;66;98;166;58;168;140;261;4337
"Semana 05/2021";28;97;71;62;16;44;10;30;31;29;78;33;66;50;24;67;102;94;3;67;7;71;74;30;66;34;22;26;77;37;85;59;161;1751
"Semana 06/2021";-;9;4;2;-;1;-;2;2;3;3;1;2;-;1;-;-;-;-;2;-;5;2;1;3;1;2;-;1;8;6;-;3;64
"Semana 16/2021";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2
"Semana 49/2021";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"Semana 52/2021";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
